part,ebay_avg,google_avg,ebay_url,google_url,image_url,ai_valid
Alternator,76.54,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Alternator+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Alternator+used,,True
Starter,58.6,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Starter+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Starter+used,,True
Engine Mount,41.81,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Engine+Mount+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Engine+Mount+used,,True
Oil Pan,161.9,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Oil+Pan+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Oil+Pan+used,,True
Cylinder Head,142.34,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Cylinder+Head+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Cylinder+Head+used,,True
Timing Cover,613.34,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Timing+Cover+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Timing+Cover+used,,True
Serpentine Belt,46.33,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Serpentine+Belt+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Serpentine+Belt+used,,True
Ignition Coil,28.82,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Ignition+Coil+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Ignition+Coil+used,,True
Spark Plug,36.82,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Spark+Plug+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Spark+Plug+used,,True
Camshaft Sensor,43.47,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Camshaft+Sensor+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Camshaft+Sensor+used,,True
Crankshaft Sensor,19.89,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Crankshaft+Sensor+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Crankshaft+Sensor+used,,True
VVT Solenoid,98.74,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+VVT+Solenoid+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+VVT+Solenoid+used,,True
Engine Cover,66.06,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Engine+Cover+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Engine+Cover+used,,True
Control Arm,72.13,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Control+Arm+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Control+Arm+used,,True
Shock Absorber,117.93,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Shock+Absorber+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Shock+Absorber+used,,True
Strut,114.35,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Strut+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Strut+used,,True
Coil Spring,88.55,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Coil+Spring+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Coil+Spring+used,,True
Spindle,76.43,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Spindle+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Spindle+used,,True
Ball Joint,147.5,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Ball+Joint+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Ball+Joint+used,,True
Sway Bar,61.41,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Sway+Bar+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Sway+Bar+used,,True
Steering Rack,207.47,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Steering+Rack+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Steering+Rack+used,,True
Front Bumper,392.66,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Front+Bumper+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Front+Bumper+used,,True
Rear Bumper,280.02,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Rear+Bumper+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Rear+Bumper+used,,True
Door,202.17,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Door+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Door+used,,True
Fender,144.31,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Fender+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Fender+used,,True
Grille,81.16,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Grille+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Grille+used,,True
Side Mirror,135.63,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Side+Mirror+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Side+Mirror+used,,True
