Part Name,eBay Scraped Avg Price,eBay Scraped Low Price,eBay Scraped URL,Scraped Image Filename,eBay Scrape Error,Google Shopping Avg Price,Google Shopping URL,Google Scrape Error
Belts,66.42,19.46,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Belts%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Belts_20250518170301181762.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Belts%20used%20price&tbm=shop,Google Shopping scraping not implemented
Idlers & Tensioners,43.85,16.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Idlers%20%26%20Tensioners%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Idlers_Tensioners_20250518170308711560.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Idlers%20%26%20Tensioners%20used%20price&tbm=shop,Google Shopping scraping not implemented
Pulleys,64.72,15.19,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Pulleys%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Pulleys_20250518170315907550.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Pulleys%20used%20price&tbm=shop,Google Shopping scraping not implemented
Air Filters,99.59,5.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Air%20Filters%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Air_Filters_20250518170324276758.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Air%20Filters%20used%20price&tbm=shop,Google Shopping scraping not implemented
Air Filter Housings,102.91,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Air%20Filter%20Housings%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Air_Filter_Housings_20250518170331661213.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Air%20Filter%20Housings%20used%20price&tbm=shop,Google Shopping scraping not implemented
Carburetors,121.21,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Carburetors%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Carburetors_20250518170338741304.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Carburetors%20used%20price&tbm=shop,Google Shopping scraping not implemented
Fuel Filters,109.71,19.98,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Fuel%20Filters%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Fuel_Filters_20250518170346305976.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Fuel%20Filters%20used%20price&tbm=shop,Google Shopping scraping not implemented
Fuel Injection Parts,126.43,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Fuel%20Injection%20Parts%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Fuel_Injection_Parts_20250518170353166703.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Fuel%20Injection%20Parts%20used%20price&tbm=shop,Google Shopping scraping not implemented
Fuel Pumps,160.25,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Fuel%20Pumps%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Fuel_Pumps_20250518170400355134.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Fuel%20Pumps%20used%20price&tbm=shop,Google Shopping scraping not implemented
Sending Units,108.47,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Sending%20Units%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Sending_Units_20250518170407593058.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Sending%20Units%20used%20price&tbm=shop,Google Shopping scraping not implemented
Fuel Tanks,168.14,19.95,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Fuel%20Tanks%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Fuel_Tanks_20250518170414649290.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Fuel%20Tanks%20used%20price&tbm=shop,Google Shopping scraping not implemented
Filler Necks,76.04,18.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Filler%20Necks%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Filler_Necks_20250518170421501805.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Filler%20Necks%20used%20price&tbm=shop,Google Shopping scraping not implemented
"Hoses, Lines & Pipes",67.67,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Hoses%2C%20Lines%20%26%20Pipes%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Hoses_Lines_Pipes_20250518170428737099.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Hoses%2C%20Lines%20%26%20Pipes%20used%20price&tbm=shop,Google Shopping scraping not implemented
