part,car_parts_price,google_price,ebay_price,car_parts_avg,google_avg,ebay_avg,best_deal,savings,car_parts_url,google_url,ebay_url,image_url
Alternator,0,0,0,0,0,0,N/A,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Alternator,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Alternator+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/fFMAAeSwUJFntfo5/s-l500.webp
Radiator,0,0,0,0,0,0,N/A,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Radiator,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Radiator+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/CugAAOSw455n5AyZ/s-l500.webp
Brake Pads,0,0,0,0,0,0,N/A,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Brake+Pads,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Brake+Pads+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/QRYAAOSwq0pnWwsA/s-l500.webp
Starter,0,0,0,0,0,0,N/A,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Starter,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Starter+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/vZ0AAOSw~jBn3YxQ/s-l500.webp
Headlights,0,0,0,0,0,0,N/A,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Headlights,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Headlights+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/bnEAAOSwRtZmqPJu/s-l500.webp
AC Compressor,0,0,0,0,0,0,N/A,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+AC+Compressor,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+AC+Compressor+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/tc0AAeSwPmhn7IPJ/s-l500.webp
Fuel Pump,0,0,0,0,0,0,N/A,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Fuel+Pump,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Fuel+Pump+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/pnwAAeSwdHZn~s5J/s-l500.webp
Door Mirror,0,0,0,0,0,0,N/A,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Door+Mirror,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Door+Mirror+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/p~wAAOSwBvpka-br/s-l500.webp
Bumper,0,0,0,0,0,0,N/A,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Bumper,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Bumper+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/Q~0AAOSw-vpn7Y-F/s-l500.webp
Grille,0,0,0,0,0,0,N/A,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Grille,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Grille+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/~csAAOSwWo9kATTn/s-l500.webp
Tail Light,0,0,0,0,0,0,N/A,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Tail+Light,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Tail+Light+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/tcsAAOSwgUlnAPz~/s-l500.webp
Steering Rack,0,0,0,0,0,0,N/A,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Steering+Rack,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Steering+Rack+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/uoMAAeSwq65nxWLE/s-l500.webp
Control Arm,0,0,0,0,0,0,N/A,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Control+Arm,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Control+Arm+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/85sAAOSwOARnqiue/s-l500.webp
Transmission,0,0,0,0,0,0,N/A,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Transmission,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Transmission+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/flMAAeSwv-ZnwVNK/s-l500.webp
