part,ebay_low,ebay_avg,google_low,google_avg,offerup_low,offerup_avg,craigslist_low,craigslist_avg,best_deal,ebay_url,google_url,offerup_url,craigslist_url,image_url
Alternator,20.0,91.73,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Alternator+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Alternator+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Alternator,https://craigslist.org/search/sss?query=2004+BMW+645i+Alternator,saved_images/alternator_20250427205533.jpg
Starter,10.0,36.07,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Starter+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Starter+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Starter,https://craigslist.org/search/sss?query=2004+BMW+645i+Starter,saved_images/starter_20250427205546.jpg
Radiator,20.0,151.86,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Radiator+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Radiator+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Radiator,https://craigslist.org/search/sss?query=2004+BMW+645i+Radiator,saved_images/radiator_20250427205555.jpg
Transmission,20.0,714.99,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Transmission+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Transmission+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Transmission,https://craigslist.org/search/sss?query=2004+BMW+645i+Transmission,saved_images/transmission_20250427205605.jpg
Catalytic Converter,20.0,381.54,12.0,922.4,0,0,0,0,Google,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Catalytic+Converter+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Catalytic+Converter+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Catalytic%20Converter,https://craigslist.org/search/sss?query=2004+BMW+645i+Catalytic+Converter,saved_images/catalytic_converter_20250427205614.jpg
Steering Rack,20.0,222.25,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Steering+Rack+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Steering+Rack+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Steering%20Rack,https://craigslist.org/search/sss?query=2004+BMW+645i+Steering+Rack,saved_images/steering_rack_20250427205624.jpg
Bumper Cover,12.0,142.61,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Bumper+Cover+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Bumper+Cover+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Bumper%20Cover,https://craigslist.org/search/sss?query=2004+BMW+645i+Bumper+Cover,saved_images/bumper_cover_20250427205634.jpg
Door Mirror,20.0,100.37,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Door+Mirror+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Door+Mirror+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Door%20Mirror,https://craigslist.org/search/sss?query=2004+BMW+645i+Door+Mirror,saved_images/door_mirror_20250427205643.jpg
Quarter Panel,20.0,119.13,138.51,14284.96,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Quarter+Panel+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Quarter+Panel+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Quarter%20Panel,https://craigslist.org/search/sss?query=2004+BMW+645i+Quarter+Panel,saved_images/quarter_panel_20250427205652.jpg
Dashboard,10.0,290.21,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Dashboard+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Dashboard+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Dashboard,https://craigslist.org/search/sss?query=2004+BMW+645i+Dashboard,saved_images/dashboard_20250427205703.jpg
